text,label
"Congratulations! You've won a free ticket to the Bahamas. Call now!",spam
"Dear customer, your account has been suspended. Please click this link to verify.",spam
"Hey, are we still meeting for coffee tomorrow?",ham
"Limited-time offer! Get a free iPhone when you sign up today.",spam
"Hi John, just wanted to check in about the project deadline.",ham
"Earn money quickly by working from home. No experience needed!",spam
"Don't forget our dinner reservation tonight at 7 PM.",ham
"URGENT: Your credit card has been charged. Contact support immediately!",spam
"Thanks for your email. I'll get back to you by Monday.",ham
"Win $1000 now! Enter your details on our secure website.",spam
"press here for cash price",spam
